ID,Usable FIPS,Usable STATE
15646687,18097.0,INDIANA
118573963,6075.0,CALIFORNIA
558087477,,TEXAS
22416043,6037.0,CALIFORNIA
919234185973219328,,RHODE ISLAND
953800074437496832,,PENNSYLVANIA
1607098015,20045.0,KANSAS
1152669866001874944,42121.0,PENNSYLVANIA
1113906362017243136,48279.0,TEXAS
777526532851892224,48201.0,TEXAS
45175575,8041.0,COLORADO
289118612,13121.0,GEORGIA
44354301,37135.0,NORTH CAROLINA
2149369370,,CALIFORNIA
54042176,12095.0,FLORIDA
19314235,36103.0,NEW YORK
2569479863,12105.0,FLORIDA
1013067283894325248,,MISSOURI
711355769556316160,48453.0,TEXAS
23827857,42003.0,PENNSYLVANIA
198313485,45085.0,SOUTH CAROLINA
1021393315416166400,39089.0,OHIO
20412795,,CALIFORNIA
25204685,,HAWAII
1206273170,20055.0,KANSAS
1087162829340360704,6073.0,CALIFORNIA
1150802000784896000,,TEXAS
17828043,6075.0,CALIFORNIA
91238770,,PENNSYLVANIA
52556778,53033.0,WASHINGTON
1196204396264271872,24005.0,MARYLAND
128649739,53033.0,WASHINGTON
399251929,,MONTANA
1590874734,48113.0,TEXAS
2984847277,,ILLINOIS
293252372,42003.0,PENNSYLVANIA
1629426966,47157.0,TENNESSEE
812510288872284160,6083.0,CALIFORNIA
49262454,,MARYLAND
352683859,12095.0,FLORIDA
34092386,6107.0,CALIFORNIA
1636788799,,OREGON
4911505534,12031.0,FLORIDA
22828837,56001.0,WYOMING
165215743,8014.0,COLORADO
573110293,,COLORADO
1044663875000504320,,MINNESOTA
844910488786030592,,TEXAS
15501305,,NEW YORK
2975697197,,NEW YORK
1207755089584123904,6029.0,CALIFORNIA
717035360,,ALASKA
952988827,,ARIZONA
15040988,12115.0,FLORIDA
408420766,36001.0,NEW YORK
860698362,,ILLINOIS
1118220849952231424,,PUERTO RICO
19700426,36081.0,NEW YORK
1166866780620386304,,ARIZONA
3126631073,,NEW YORK
16798163,42009.0,PENNSYLVANIA
521699347,42091.0,PENNSYLVANIA
53963139,18163.0,INDIANA
170763654,,ARKANSAS
24719342,16011.0,IDAHO
1139670064469368832,36009.0,NEW YORK
1571679000,,WISCONSIN
4048442295,12105.0,FLORIDA
4720120876,,PENNSYLVANIA
872889308,27097.0,MINNESOTA
431742890,34013.0,NEW JERSEY
520727534,12105.0,FLORIDA
703342708258152448,13057.0,GEORGIA
4078951408,,NEW YORK
43288133,11001.0,"WASHINGTON, D.C."
19209830,12005.0,FLORIDA
797622448455827456,,TEXAS
253637278,47157.0,TENNESSEE
1528106130,32013.0,NEVADA
2936645772,48279.0,TEXAS
8569042,37119.0,NORTH CAROLINA
49516074,6083.0,CALIFORNIA
2316144061,8013.0,COLORADO
508226822,6075.0,CALIFORNIA
852369361180344320,6075.0,CALIFORNIA
2257951640,,ARIZONA
95537977,36067.0,NEW YORK
2998695672,,TEXAS
189287622,36119.0,NEW YORK
266318102,,LOUISIANA
168691937,,NEW JERSEY
40755803,,MICHIGAN
40680086,,CALIFORNIA
1201830872,39089.0,OHIO
25455235,4013.0,ARIZONA
85353036,25017.0,MASSACHUSETTS
5444412,32003.0,NEVADA
263280172,48453.0,TEXAS
1112843634464813056,4005.0,ARIZONA
499538426,49039.0,UTAH
245031338,,MISSOURI
70751132,,MISSOURI
800140340120330240,11001.0,"WASHINGTON, D.C."
1094308218417831936,,NEW JERSEY
15252952,,TEXAS
271586341,54075.0,WEST VIRGINIA
274294204,11001.0,"WASHINGTON, D.C."
4892291736,48279.0,TEXAS
2938592060,,MONTANA
34983785,,LOUISIANA
27826482,,ILLINOIS
897717955718467584,6019.0,
741113412357357568,4017.0,ARIZONA
30354530,55031.0,WISCONSIN
3636881662,39049.0,OHIO
212450008,53033.0,WASHINGTON
845890294109425664,,WISCONSIN
1115087289972084736,39009.0,OHIO
3163427041,,COLORADO
840648747310764032,,ARIZONA
154810317,17003.0,ILLINOIS
3060914706,,ILLINOIS
23659017,,NEW YORK
1010310807966703616,38083.0,NORTH DAKOTA
18987108,20157.0,KANSAS
825813962574925824,22015.0,LOUISIANA
73152866,,NEW YORK
22716721,12095.0,FLORIDA
313774045,,ARIZONA
29252891,,FLORIDA
113117866,54093.0,WEST VIRGINIA
18592533,35009.0,NEW MEXICO
286634245,,RHODE ISLAND
2284299570,,RHODE ISLAND
2237393048,48279.0,TEXAS
2972109496,40151.0,OKLAHOMA
986228165155676160,12095.0,FLORIDA
1043472273611591680,,NEW YORK
73134729,38059.0,NORTH DAKOTA
77654638,,MISSOURI
100635221,,WISCONSIN
1232462940,51640.0,VIRGINIA
29206063,48113.0,TEXAS
700398611117506560,,PENNSYLVANIA
314334960,37183.0,NORTH CAROLINA
188665202,31175.0,NEBRASKA
1014817127407251456,29119.0,MISSOURI
458164872,12071.0,FLORIDA
294830333,6107.0,CALIFORNIA
363351394,6059.0,CALIFORNIA
1445254561,,INDIANA
2936852873,18089.0,INDIANA
1660314828,45031.0,SOUTH CAROLINA
125137099,,COLORADO
176798935,,OHIO
768369594,5033.0,ARKANSAS
557768645,12011.0,FLORIDA
2163908557,48113.0,TEXAS
932305173577420800,12086.0,FLORIDA
20108486,51600.0,VIRGINIA
87610646,17031.0,ILLINOIS
219032499,29001.0,MISSOURI
54959092,5059.0,ARKANSAS
752990577248071680,,COLORADO
1223356417,48453.0,TEXAS
225983424,,NEW YORK
4841000332,17071.0,ILLINOIS
936238338356404224,37057.0,NORTH CAROLINA
1736787728,34007.0,NEW JERSEY
757970957743058944,41065.0,OREGON
3754638325,48041.0,TEXAS
54657938,25007.0,MASSACHUSETTS
887094314,47093.0,TENNESSEE
18788107,,ILLINOIS
211031794,,MARYLAND
263323353,12023.0,FLORIDA
256994248,,MISSOURI
993539089,,FLORIDA
317574233,48201.0,TEXAS
854736331,,MICHIGAN
511210135,6025.0,CALIFORNIA
73748943,,MISSOURI
4093819214,20157.0,KANSAS
385048489,42077.0,PENNSYLVANIA
2756480851,36029.0,NEW YORK
3644915056,18105.0,INDIANA
952492045813407744,12095.0,FLORIDA
220901898,,NEW YORK
714403258308161536,12057.0,FLORIDA
22448440,37081.0,NORTH CAROLINA
1148821976,,CALIFORNIA
2639835535,,HAWAII
1136083268,,CALIFORNIA
514708269,,HAWAII
24757092,,ARIZONA
3884460736,48279.0,TEXAS
3327671199,36067.0,NEW YORK
22399993,6037.0,CALIFORNIA
497052651,41039.0,OREGON
389283764,,OHIO
941575265175531520,6053.0,CALIFORNIA
117830521,,ALABAMA
750078931865182208,39061.0,OHIO
1097976551172464640,48201.0,TEXAS
1045036168004362240,11001.0,"WASHINGTON, D.C."
4172714567,12071.0,FLORIDA
190366317,36055.0,NEW YORK
723158857699074048,40027.0,OKLAHOMA
1188952099893194752,,MICHIGAN
1123715026139930624,,NEW JERSEY
2230388154,53033.0,WASHINGTON
66649601,,CALIFORNIA
62521396,,MINNESOTA
30130236,42101.0,PENNSYLVANIA
213016648,,FLORIDA
409311417,,NEW YORK
197810475,,NEW YORK
1047474605659709440,,ARIZONA
287415973,27133.0,MINNESOTA
1934618810,12095.0,FLORIDA
855896225798860800,12103.0,FLORIDA
188344733,48201.0,TEXAS
232379710,,NEW YORK
13108822,,NEW YORK
23142250,,COLORADO
1917605214,17021.0,ILLINOIS
954500432755240960,6089.0,CALIFORNIA
2159662937,,COLORADO
763462543306129408,53049.0,WASHINGTON
422344296,28003.0,MISSISSIPPI
1213574599419412480,,NEW MEXICO
16090559,,CALIFORNIA
2426108959,8119.0,COLORADO
452757845,8041.0,COLORADO
17502664,,CONNECTICUT
755478147223683072,42129.0,PENNSYLVANIA
725818953629454336,,MICHIGAN
802659311029813248,33003.0,NEW HAMPSHIRE
911036699693772800,,ILLINOIS
31175084,,FLORIDA
197922702,48279.0,TEXAS
768504623330160640,36119.0,NEW YORK
1110319628884938752,6073.0,CALIFORNIA
3395460933,24005.0,MARYLAND
759317154,,PENNSYLVANIA
242448965,11001.0,"WASHINGTON, D.C."
1102614942593810432,51195.0,VIRGINIA
21114659,,NEW YORK
937704163,,COLORADO
380227478,6059.0,CALIFORNIA
2159386981,25025.0,MASSACHUSETTS
33320007,40109.0,OKLAHOMA
161086501,36061.0,NEW YORK
1897239480,50015.0,VERMONT
37021555,,TEXAS
26422223,20073.0,KANSAS
2438519822,47037.0,TENNESSEE
23321567,11001.0,"WASHINGTON, D.C."
806429974689292288,21165.0,KENTUCKY
16632562,13121.0,GEORGIA
1065395225672134656,48279.0,TEXAS
929401256719745024,41039.0,OREGON
772713402,,ARIZONA
76475158,,NEVADA
6679982,,OHIO
120202359,16021.0,IDAHO
476359074,,MISSOURI
704031546395590656,4025.0,ARIZONA
755520936619544576,53049.0,WASHINGTON
2376598304,,NEVADA
2577892627,,KANSAS
89076502,,FLORIDA
363761016,48279.0,TEXAS
532603860,12001.0,FLORIDA
393645945,6037.0,CALIFORNIA
2190527462,12105.0,FLORIDA
55797066,,TEXAS
481696872,53049.0,WASHINGTON
21777306,48453.0,TEXAS
3707463135,39037.0,OHIO
1179859581641449472,,KANSAS
49892671,47149.0,TENNESSEE
83097547,,UTAH
26878127,,WISCONSIN
247596099,,ALASKA
84136842,,COLORADO
3254015790,36103.0,NEW YORK
934588832149835776,48279.0,TEXAS
2572956582,,TEXAS
160347321,48491.0,TEXAS
28271811,53053.0,WASHINGTON
773224756971577344,20029.0,KANSAS
21734052,,CALIFORNIA
704351087155777536,53033.0,WASHINGTON
875884759934656512,,RHODE ISLAND
50001812,42081.0,PENNSYLVANIA
53354659,48279.0,TEXAS
1192872185460858880,,OKLAHOMA
1060908248130154496,41051.0,OREGON
842894415102447616,29095.0,MISSOURI
19042040,,INDIANA
161186959,6053.0,CALIFORNIA
19465673,20175.0,KANSAS
241957348,6065.0,CALIFORNIA
3590614516,,IDAHO
30449971,1113.0,ALABAMA
66239998,,NEW YORK
808005442236456960,54049.0,WEST VIRGINIA
96285181,11001.0,"WASHINGTON, D.C."
36341353,42027.0,PENNSYLVANIA
849064854803685376,,NEW YORK
2565525021,36001.0,NEW YORK
973000170,,MISSOURI
56174050,39151.0,OHIO
388385054,17089.0,ILLINOIS
1942745894,,NEW YORK
273034864,,PENNSYLVANIA
379535010,18097.0,INDIANA
2345439056,18051.0,INDIANA
3401412879,25025.0,MASSACHUSETTS
10718092,12095.0,FLORIDA
2873973494,48083.0,
832258721648615424,,OHIO
731643902,26163.0,MICHIGAN
227497567,21111.0,KENTUCKY
281216613,37135.0,NORTH CAROLINA
1002392957306236928,37119.0,NORTH CAROLINA
832107584467275776,48029.0,TEXAS
143390475,42081.0,PENNSYLVANIA
797176328,18067.0,INDIANA
801080366,55079.0,WISCONSIN
159382802,,NEW YORK
814121478,12105.0,FLORIDA
32817728,41051.0,OREGON
850411759190106112,48201.0,TEXAS
894321486705512448,41005.0,OREGON
3311754342,17097.0,ILLINOIS
1088554244746158080,,NEW JERSEY
1086126829721866240,,TENNESSEE
885655663937855488,,CALIFORNIA
