,lat,long
,unique,unique
user_id,,
531.0,[40.742185],[-73.992602]
1081.0,[37.3228934],[-122.0322895]
2654.0,[42.3788774],[-72.03236600000002]
3471.0,[37.7884969],[-122.3558473]
3652.0,[40.6501024],[-73.9495829]
4358.0,[35.996653],[-78.90180529999998]
5608.0,[39.9622601],[-83.00070649999998]
10022.0,[38.6264178],[-90.1998378]
10727.0,[37.7790262],[-122.4199061]
11493.0,[35.22720860000001],[-80.84308270000002]
11989.0,[40.0757384],[-74.4041622]
12835.0,[40.4416941],[-79.99008609999998]
13410.0,[39.7683331],[-86.1583502]
13413.0,[47.6859573],[-122.1920249]
29283.0,[37.7790262],[-122.4199061]
43693.0,[40.7127281],[-74.0060152]
65473.0,[31.8160381],[-99.5120986]
65513.0,[36.1622296],[-86.7743531]
68093.0,[42.3788774],[-72.03236600000002]
72393.0,[37.7790262],[-122.4199061]
404133.0,[38.6264178],[-90.1998378]
622683.0,[42.3602534],[-71.0582912]
623033.0,[42.3500971],[-71.1564423]
647253.0,[37.80445570000001],[-122.2713563]
658173.0,[42.12947120000001],[-80.0852695]
667203.0,[40.0796606],[-89.4337288]
682223.0,[37.7790262],[-122.4199061]
683523.0,[18.2214149],[-66.4132818]
714313.0,[42.3602534],[-71.0582912]
716463.0,[41.4268678],[-74.4384501]
718933.0,[34.0536909],[-118.242766]
729003.0,[41.7962409],[-71.59923719999998]
755103.0,[42.3788774],[-72.03236600000002]
755772.0,[37.7288889],[-122.3925]
759203.0,[40.3451668],[-75.1263909]
774523.0,[34.0536909],[-118.242766]
776052.0,[37.80445570000001],[-122.2713563]
777846.0,[45.3127452],[-122.5495683]
778623.0,[37.1677128],[-94.8464256]
782310.0,[47.6038321],[-122.3300624]
784560.0,[36.7014631],[-118.7559974]
785365.0,[41.091121],[-73.9196794]
804681.0,[33.4942189],[-111.92601840000002]
811260.0,[47.6038321],[-122.3300624]
812660.0,[37.7790262],[-122.4199061]
814227.0,[40.7127281],[-74.0060152]
834201.0,[36.1622296],[-86.7743531]
909701.0,[33.749098700000005],[-84.39018490000002]
917131.0,[37.7790262],[-122.4199061]
920041.0,[30.2711286],[-97.7436995]
979641.0,[46.5391751],[-102.8682231]
979991.0,[32.896519399999995],[-97.0465221]
1003831.0,[27.7567667],[-81.4639835]
1006741.0,[37.7884969],[-122.3558473]
1010781.0,[42.3602534],[-71.0582912]
1048931.0,[31.8160381],[-99.5120986]
1054431.0,[37.7790262],[-122.4199061]
1063201.0,[38.8949924],[-77.0365581]
1101791.0,[40.0757384],[-74.4041622]
1122811.0,[40.7127281],[-74.0060152]
1123381.0,[37.7884969],[-122.3558473]
1125541.0,[45.5202471],[-122.6741949]
1139251.0,[38.9819845],[-77.1242341]
1165631.0,[40.563249],[-74.2574449]
1237291.0,[38.8949924],[-77.0365581]
1248081.0,[37.9744323],[-122.56150320000002]
1268381.0,[40.4416941],[-79.99008609999998]
1331061.0,[38.6264178],[-90.1998378]
1336811.0,[36.1622296],[-86.7743531]
1383481.0,[37.6390972],[-120.9968782]
1436551.0,[34.395342],[-111.7632755]
1442411.0,[30.421309],[-87.2169149]
1457101.0,[41.7962409],[-71.59923719999998]
1459761.0,[40.7127281],[-74.0060152]
1481771.0,[33.6170092],[-117.92944009999998]
1496971.0,[40.7127281],[-74.0060152]
1525391.0,[47.6038321],[-122.3300624]
1527641.0,[30.6580927],[-97.6041649]
1533631.0,[45.5202471],[-122.6741949]
1571181.0,[34.0696501],[-118.3963062]
1575901.0,[45.5202471],[-122.6741949]
1586871.0,[40.7127281],[-74.0060152]
1674701.0,[43.9792797],[-120.737257]
1770471.0,[45.98965870000001],[-94.6113288]
1796221.0,[40.7127281],[-74.0060152]
1815971.0,[42.6583661],[-83.14993220000002]
1885121.0,[38.1617133],[-88.0653123]
1958451.0,[38.8949924],[-77.0365581]
1965231.0,[39.7392364],[-104.9848623]
2007051.0,[40.6501024],[-73.9495829]
2019791.0,[37.7790262],[-122.4199061]
2026431.0,[25.7741728],[-80.19362]
2053381.0,[37.7790262],[-122.4199061]
2092801.0,[32.753177],[-97.3327459]
2101871.0,[36.0726355],[-79.79197540000001]
2122841.0,[34.0536909],[-118.242766]
2395871.0,[41.4739419],[-81.5370671]
2513671.0,[37.7790262],[-122.4199061]
2587681.0,[34.0536909],[-118.242766]
2625571.0,[37.7790262],[-122.4199061]
2729891.0,[48.7544012],[-122.4788361]
2746541.0,[39.9527237],[-75.16352619999998]
2753121.0,[43.6211955],[-84.6824346]
2814601.0,[36.7014631],[-118.7559974]
2864781.0,[39.7683331],[-86.1583502]
2907091.0,[39.5162234],[-76.9382069]
2910971.0,[43.9792797],[-120.737257]
2994671.0,[37.53850870000001],[-77.43428]
3031691.0,[35.0457219],[-85.3094883]
3081521.0,[25.7741728],[-80.19362]
3155161.0,[38.8949924],[-77.0365581]
