ID,Num CT Tweets,Searched
2901430149,1457,0
120128474,1623,0
153151535,2120,0
3632641633,310,0
94374562,306,0
1181747081406341120,473,0
1106312355267469312,668,0
4311670299,81,0
1489567152,543,0
963911619997814785,119,0
706860096232357888,876,0
838183743831552001,675,0
951357527501008896,857,0
968685540378804225,109,0
1189844650749763584,315,0
832093025501270017,201,0
16927345,496,0
1728257448,168,0
898840692,58,0
1211157978851577862,226,0
966341696710524928,339,0
1093814072099958785,60,0
401324299,390,0
857652811785490433,435,0
1074241115451121665,545,0
949323877158617089,223,0
1166508638170566656,103,0
91002295,68,0
9285702,12,0
1209707834872680449,507,0
784535979189235713,587,0
4785184752,267,0
1917731,202,0
3837534087,65,0
468798917,9,0
900754094490570753,93,0
1084223189587234816,111,0
1156017579686653952,313,0
1118264310483095552,134,0
1109520537552715776,153,0
217145845,29,0
27928762,47,0
32574211,22,0
2996456926,214,0
295528893,21,0
59170585,158,0
1071522079571361793,63,0
2813264885,108,0
2674548866,1933,0
1010964289627348993,73,0
347711964,216,0
1179749780206915584,9,0
826162602615177216,1792,0
775126753522049025,139,0
500072521,271,0
1042172427193802752,51,0
1025630414646390785,124,0
260265236,9,0
18584974,10,0
734570792747474945,247,0
962039230024245248,54,0
1023727442064826370,421,0
175197163,220,0
2409110353,206,0
2956423968,76,0
830017898089414656,173,0
309718663,632,0
1138920285267222528,68,0
16899769,31,0
1168757632552751104,411,0
1065445726988247040,189,0
1197892929697832961,5,0
1007235402602819584,60,0
77362027,62,0
277694125,231,0
358151878,93,0
2413859737,331,0
897584426997104640,15,0
736393287678853122,211,0
790937395130691584,96,0
2868017577,245,0
921527786,77,0
1031285335014043648,31,0
526806247,255,0
2732884978,171,0
824423012745179136,74,0
1029940920056262656,186,0
2782005918,47,0
1094015688673505285,150,0
1029849922697355265,55,0
1108200291701280768,18,0
806227338870607874,47,0
2889274562,17,0
788054484593184769,114,0
1130940537471561729,50,0
710025226927652864,11,0
269907315,9,0
967634034728808448,172,0
30813031,49,0
330633214,21,0
954730312067633153,27,0
4842309661,19,0
288363960,68,0
1067490734759178240,146,0
959791427143299072,881,0
585151126,281,0
856229526099152896,7,0
964675442,23,0
1022968487654895622,204,0
43302184,33,0
1079121635813322753,10,0
